E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
253.17,2039.69,142.70,87.38,0.80,-11.97,3330.57,376.19,1155.41,265.93,154.55,157.21
254.61,2039.91,142.52,88.20,0.64,-11.95,3229.35,377.95,1155.94,265.93,154.55,157.21
256.03,2040.12,142.34,87.23,0.27,-12.03,3234.68,376.96,1147.84,265.93,154.55,157.21
257.42,2040.33,142.17,84.58,0.25,-12.07,2980.88,377.41,1145.10,265.93,154.55,157.21
258.76,2040.55,141.97,81.68,0.73,-13.09,2593.79,349.34,1023.29,203.33,84.35,117.18
260.07,2040.79,141.77,80.10,2.30,-13.38,2493.91,183.40,1006.02,203.33,84.35,117.18
261.35,2041.04,141.59,78.40,2.72,-12.27,2440.18,171.27,969.46,203.33,84.35,117.18
262.60,2041.29,141.42,76.27,2.26,-10.99,2298.36,165.03,946.46,203.33,84.35,117.18
263.82,2041.51,141.29,74.27,1.27,-9.49,2187.39,126.43,888.46,203.33,60.67,109.06
265.03,2041.73,141.16,73.41,0.47,-8.52,2184.06,121.58,877.11,203.33,56.04,109.06
266.22,2041.95,141.05,72.53,0.63,-7.88,2162.27,118.38,862.46,203.33,49.66,109.06
267.38,2042.17,140.95,70.91,1.05,-7.06,2060.40,102.65,862.45,203.33,49.66,109.06
268.51,2042.39,140.86,68.60,0.93,-6.58,1892.69,102.26,862.39,201.70,49.66,109.06
269.61,2042.61,140.78,66.39,0.62,-5.81,1754.58,108.27,842.63,201.70,49.66,109.06
270.66,2042.83,140.72,64.04,0.47,-4.98,1576.04,108.15,832.61,189.49,49.66,109.06
271.69,2043.04,140.66,62.22,0.26,-4.41,1432.50,108.43,820.60,189.49,49.66,109.06
272.69,2043.25,140.61,60.76,0.08,-3.99,1337.93,111.11,811.87,189.49,49.66,109.06
273.67,2043.45,140.57,59.02,-0.22,-3.44,1173.18,112.59,816.43,189.49,49.66,109.06
274.61,2043.65,140.54,57.26,-0.60,-2.99,990.97,116.63,816.66,182.90,49.66,109.06
275.54,2043.84,140.51,55.70,-0.91,-2.39,824.85,115.21,816.37,172.48,49.66,109.06
276.43,2044.03,140.51,54.24,-1.30,-1.30,686.05,108.67,799.13,140.57,49.66,109.06
277.31,2044.21,140.52,53.11,-1.46,-0.22,623.96,107.85,738.30,127.87,49.66,109.06
278.18,2044.39,140.55,52.29,-1.71,1.05,581.87,107.86,664.11,122.02,49.66,99.30
279.04,2044.57,140.59,51.62,-2.24,2.05,559.42,104.03,621.84,122.02,49.66,99.30
279.88,2044.73,140.66,50.82,-2.44,3.23,541.93,104.30,564.07,122.02,49.66,95.86
280.72,2044.90,140.75,50.08,-2.50,4.38,531.17,104.67,516.23,122.02,49.66,95.86
281.53,2045.06,140.84,49.02,-2.81,5.27,498.96,103.19,458.85,119.78,49.66,95.86
282.33,2045.22,140.95,47.94,-3.07,5.98,483.27,104.95,420.27,119.78,49.66,95.86
283.12,2045.38,141.08,47.21,-3.48,6.92,468.48,104.80,377.27,119.78,49.66,95.86
283.89,2045.52,141.22,46.38,-3.86,8.09,459.90,97.75,333.26,119.78,49.66,95.86
284.66,2045.66,141.38,46.00,-4.58,8.72,448.44,93.98,297.61,119.78,62.64,95.86
285.42,2045.78,141.55,45.69,-5.46,9.70,443.69,102.15,230.85,119.78,62.64,91.05
286.17,2045.89,141.73,45.03,-5.78,10.73,424.38,100.35,171.86,119.78,62.64,61.27
286.90,2046.01,141.92,43.55,-5.46,10.83,409.84,106.73,167.04,113.41,62.64,61.27
287.61,2046.13,142.11,42.68,-5.66,10.72,404.06,97.37,172.50,113.41,58.73,61.27
288.31,2046.24,142.30,41.72,-5.90,10.93,396.41,93.34,161.46,113.41,58.73,58.83
289.00,2046.35,142.49,40.88,-6.01,11.02,390.31,92.13,158.13,113.41,58.73,58.83
289.68,2046.46,142.69,40.43,-6.03,11.51,398.11,92.09,143.66,113.41,58.73,57.54
290.36,2046.57,142.90,40.63,-6.17,11.89,395.51,91.72,133.43,113.41,58.73,57.54
291.05,2046.67,143.11,41.32,-6.69,12.54,390.90,91.69,139.98,113.41,58.73,57.54
291.75,2046.77,143.34,41.87,-7.16,13.10,389.68,93.59,143.42,113.41,58.73,57.54
292.46,2046.85,143.56,42.10,-7.48,13.28,394.16,99.45,147.81,113.41,58.73,57.54
293.16,2046.94,143.79,41.84,-7.75,13.21,383.79,103.92,144.90,113.41,58.73,57.54
293.85,2047.02,144.02,41.13,-7.52,13.14,350.54,99.35,143.46,113.41,58.73,57.54
