E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
-638,1932,317,0,-5,3,739,605,116,-90,-75,-22
-605,1929,307,-28,-2,34,15073,1297,3107,-436,-115,-108
-295,1923,411,72,103,-35,51180,46978,54028,-697,-358,-441
-338,2026,585,126,-10,-173,140769,221240,65970,-1035,-995,-639
-191,2221,504,21,-215,-64,173274,363215,89844,-1173,-1634,-900
43,2181,417,-330,-177,-88,75554,156108,145369,-1109,-952,-685
-185,1958,633,23,50,-229,120902,208393,64305,-889,-1142,-1030
-104,1652,345,-136,310,25,97512,196807,98668,-895,-491,-542
-202,1540,366,-132,391,55,99789,311132,81632,-938,-509,-389
-139,1504,416,-460,496,-18,201040,240827,148914,-1619,-312,-865
-452,2012,312,168,-55,-29,100868,210204,50098,-703,-999,-431
-91,1542,492,-219,460,-28,176143,360009,114109,-1480,-607,-1009
-191,2784,737,-136,-801,-251,212614,315232,185053,-1403,-1974,-1043
-608,2131,995,128,-139,-630,274810,221654,131861,-1507,-1191,-1681
-15,2168,84,-505,-225,268,222264,134435,90686,-1308,-1189,-289
-569,1356,177,124,602,216,172766,252064,117785,-985,-407,-595
-540,1765,307,58,170,100,163660,233764,106619,-1200,-581,-488
-494,1775,357,-69,188,48,293025,320680,168268,-1590,-1275,-1024
-297,1969,231,30,-6,191,77289,29466,82153,-596,-386,-360
-279,1941,457,-13,10,26,162131,201369,78280,-1264,-940,-667
-527,1762,347,99,163,203,77226,134076,141576,-620,-537,-635
-289,2003,288,-33,-53,191,183446,215596,96026,-1286,-1343,-629
-280,1931,148,-138,105,185,160715,105717,97439,-1464,-599,-293
-545,2011,327,261,-56,132,83528,128530,69652,-324,-1266,-583
-292,2070,140,-43,-106,309,162105,209390,95324,-1042,-1115,-491
-340,2112,293,15,-112,151,116066,229849,88640,-1055,-945,-711
-365,2375,190,-2,-408,211,149528,308098,117459,-899,-1398,-571
-936,2547,326,581,-554,40,177501,142909,60657,-436,-1112,-532
-348,2295,482,60,-321,-19,123773,218094,79465,-1126,-1162,-757
-449,2459,494,9,-518,13,113986,197703,101007,-914,-1402,-640
-625,2344,476,260,-377,-48,146592,217839,60629,-652,-1514,-749
-874,2019,396,555,-34,-71,126244,145617,96133,-292,-736,-643
78,1761,561,-335,198,-112,120043,146102,121364,-1155,-732,-785
-1,2464,871,-236,-441,-471,200704,196391,108648,-1333,-1418,-1210
-243,1444,617,-100,535,-208,160755,213965,105092,-1175,-350,-1068
-310,2152,276,-30,-179,124,149082,194334,72181,-1113,-963,-629
-640,1770,653,-241,-515,486,251154,150094,318157,-1685,-1352,-397
