E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
474.33,1940.85,141.55,-83.45,-183.99,276.83,201420.95,1207565.93,404913.92,2380.11,8570.11,4765.44
472.85,1938.28,146.38,-95.38,-172.36,299.97,208387.23,1220370.90,425833.55,2380.11,8570.11,4765.44
471.02,1936.06,151.65,-116.55,-150.30,327.47,226892.22,1258146.24,454893.81,2448.03,8570.11,4765.44
468.99,1934.04,157.28,-129.35,-138.61,349.50,227030.83,1269633.97,464345.90,2448.03,8570.11,4765.44
466.89,1932.09,163.27,-134.08,-133.50,372.11,223958.84,1272653.01,470414.90,2448.03,8570.11,4765.44
464.83,1930.09,169.50,-131.02,-136.47,387.57,227607.74,1272317.46,466384.45,2448.03,8570.11,4765.44
462.83,1927.97,176.00,-127.57,-144.26,403.45,231743.20,1273438.72,463231.79,2448.03,8570.11,4765.44
460.89,1925.81,182.78,-124.18,-147.00,421.30,235258.52,1272880.54,461308.39,2448.03,8570.11,4765.44
459.07,1923.72,189.81,-116.38,-142.53,436.46,241484.05,1275782.79,458046.21,2448.03,8570.11,4765.44
457.41,1921.71,196.98,-105.77,-137.07,445.60,245894.73,1279805.34,454613.10,2448.03,8570.11,4765.44
455.91,1919.74,204.19,-96.63,-135.30,448.01,244772.50,1280967.45,453151.37,2448.03,8570.11,4765.44
454.52,1917.71,211.38,-89.64,-138.20,446.45,240488.98,1278633.13,454346.69,2448.03,8570.11,4765.44
453.20,1915.64,218.57,-84.89,-141.48,446.94,235472.42,1277173.77,454179.43,2448.03,8570.11,4765.44
451.93,1913.55,225.68,-82.02,-142.16,441.32,232686.33,1276727.52,452225.04,2448.03,8570.11,4765.44
450.68,1911.42,232.69,-80.71,-144.50,435.09,232313.98,1273986.85,452492.66,2448.03,8570.11,4765.44
449.49,1909.20,239.57,-77.14,-150.51,427.24,233050.67,1268677.73,453086.04,2448.03,8570.11,4765.44
448.36,1906.86,246.36,-72.75,-158.01,421.57,232972.27,1266019.24,454389.72,2448.03,8570.11,4765.44
447.47,1904.51,253.08,-58.53,-158.35,416.79,222495.59,1266076.99,456351.39,2448.03,8570.11,4765.44
446.89,1902.13,259.62,-38.68,-160.12,405.89,203885.70,1266366.03,457779.30,2448.03,8570.11,4765.44
446.44,1899.70,265.91,-31.25,-163.64,389.80,196231.13,1266725.59,462275.51,2448.03,8570.11,4765.44
445.87,1897.24,271.87,-38.01,-164.99,369.97,201513.34,1267526.00,478249.52,2448.03,8570.11,4765.44
445.21,1894.91,277.58,-44.22,-157.30,353.52,203749.29,1261375.09,491237.97,2448.03,8570.11,4765.44
444.54,1892.66,282.90,-44.31,-152.04,329.94,203751.96,1256339.21,517420.32,2448.03,8570.11,4765.44
443.92,1890.46,287.79,-41.81,-149.50,302.76,203321.14,1253833.31,547254.95,2448.03,8570.11,4790.86
443.35,1888.42,292.36,-38.05,-138.56,283.12,201993.81,1246723.34,556397.57,2448.03,8570.11,4790.86
442.79,1887.25,297.02,-37.56,-85.18,287.91,201724.29,1350948.11,561324.71,2448.03,8570.11,4790.86
442.48,1886.99,301.53,-22.06,-27.85,279.14,208478.42,1439949.10,560511.19,2448.03,8570.11,4790.86
442.38,1886.97,305.86,-9.42,-13.56,267.91,214151.67,1411775.11,563696.36,2448.03,8570.11,4790.86
442.49,1887.03,310.06,4.31,-7.88,259.54,224996.25,1395536.56,566310.43,2448.03,8570.11,4790.86
442.83,1887.36,314.17,18.09,8.44,254.31,236177.87,1365224.53,566336.37,2448.03,8570.11,4790.86
443.24,1887.94,318.12,22.85,24.20,243.84,237482.94,1353618.39,567329.58,2448.03,8570.11,4790.86
443.68,1888.83,321.98,24.74,43.59,238.37,237881.40,1368600.76,564442.93,2448.03,8570.11,4790.86
444.24,1889.82,325.81,31.99,49.39,236.60,243051.14,1370720.91,562628.51,2448.03,8570.11,4790.86
445.02,1890.72,329.53,45.82,44.34,229.89,254582.57,1371991.30,557149.47,2448.03,8570.11,4790.86
445.98,1891.48,333.18,57.10,35.66,225.17,258166.43,1375169.66,555424.41,2448.03,8570.11,4790.86
447.06,1892.01,336.76,64.44,20.60,220.96,256224.53,1389192.56,554713.66,2448.03,8570.11,4790.86
448.23,1892.30,340.25,70.17,6.60,215.48,255023.43,1397684.70,554117.40,2448.03,8570.11,4790.86
449.47,1892.35,343.54,74.43,-8.87,202.79,253087.14,1399715.98,554576.69,2448.03,8570.11,4790.86
450.78,1892.18,346.56,78.67,-22.70,186.00,248546.15,1397332.51,562639.05,2448.03,8570.11,4790.86
452.16,1891.84,349.33,82.98,-33.60,169.98,243364.49,1399933.41,577553.25,2448.03,8570.11,4790.86
453.57,1891.43,351.87,84.65,-37.18,156.44,241747.16,1404260.96,593806.82,2448.03,8570.11,4790.86
455.02,1891.12,354.44,87.47,-31.55,157.25,240295.35,1394750.97,592865.25,2448.03,8570.11,4790.86
456.48,1891.10,357.13,88.52,-12.71,165.51,240158.68,1369213.70,590223.70,2448.03,8570.11,4790.86
457.69,1891.33,359.98,72.57,1.91,175.12,237932.39,1347079.92,587451.89,2448.03,8570.11,4790.86
458.82,1891.41,363.09,67.13,-6.68,191.80,239699.96,1339595.25,590525.24,2448.03,8570.11,4790.86
459.49,1890.14,365.60,38.99,-91.28,154.18,234973.05,732074.83,416588.72,2448.03,4893.88,2824.52
459.99,1888.87,368.59,27.89,-91.16,183.85,234240.30,732340.41,423853.37,2448.03,4807.20,2824.52
460.36,1888.30,372.08,20.34,-47.30,215.17,242648.21,657905.36,447632.57,2448.03,3829.60,2824.52
460.35,1888.31,376.18,-3.49,-11.05,252.71,246408.95,582106.47,439420.27,2448.03,3829.60,2824.52
459.89,1888.23,380.58,-31.45,-16.95,272.06,226827.61,586099.76,450022.59,2212.38,3829.60,2824.52
459.48,1887.65,385.17,-28.44,-48.57,283.19,227380.46,564573.01,452988.00,2212.38,3829.60,2824.52
459.47,1886.58,389.70,-3.64,-78.53,279.82,219785.02,533045.46,449588.43,2212.38,3829.60,2824.52
459.60,1885.36,394.25,4.87,-87.86,280.75,226064.41,525987.17,450359.61,2212.38,3829.60,2824.52
459.60,1884.25,398.79,-2.85,-81.28,280.45,214580.61,531446.45,450033.38,2118.91,3829.60,2824.52
459.43,1883.35,403.29,-13.37,-67.43,277.99,208078.74,535724.89,449773.65,2118.91,3829.60,2824.52
459.12,1882.74,407.89,-22.14,-50.13,283.92,211938.19,531713.12,444017.71,2118.91,3829.60,2824.52
458.72,1882.33,412.63,-28.03,-37.66,292.90,216733.57,526941.23,433889.96,2118.91,3829.60,2824.52
458.20,1881.97,417.38,-34.92,-34.37,293.10,222505.94,523534.64,433654.54,2118.91,3829.60,2824.52
457.63,1881.57,422.01,-38.46,-36.86,285.83,225539.28,529141.50,445048.34,2118.91,4439.89,2824.52
456.99,1880.89,426.47,-42.63,-53.89,275.23,226563.62,572635.75,458050.59,2118.91,4558.20,2824.52
456.29,1879.93,430.81,-47.04,-71.58,267.39,227423.14,620629.87,471344.48,2118.91,4558.20,2824.52
455.41,1879.03,435.05,-57.49,-68.40,261.20,230785.51,615478.21,479849.78,2118.91,4558.20,2824.52
454.54,1878.54,439.21,-57.24,-42.18,256.74,230814.09,615795.08,484144.20,2118.91,4558.20,2824.52
