E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
231.42,1835.23,321.36,122.72,176.02,29.70,59675.49,155460.88,169384.12,1487.07,1781.32,1937.66
269.81,1971.29,217.03,-30.01,76.04,-118.93,97596.71,279629.84,183232.96,1638.55,2355.38,2107.23
300.64,2015.71,162.04,44.99,35.81,-30.45,98671.35,307989.68,176997.41,1567.64,2602.05,2098.46
301.44,2029.37,174.78,-47.32,-39.92,24.64,143335.80,396766.50,180206.46,2064.71,2456.21,1867.86
255.57,2048.19,130.58,-28.29,-20.26,-55.03,153910.79,242617.24,212587.41,1910.75,2592.94,1856.39
257.98,2048.41,104.23,45.25,-30.32,-35.36,112400.75,213627.75,184164.91,1495.27,2131.95,1594.11
304.37,2043.64,24.40,0.17,13.34,17.39,84799.78,393522.10,129202.59,1481.14,3055.78,2194.73
296.79,2056.53,32.15,-41.96,15.36,57.03,307329.77,620690.87,386070.66,2914.40,3587.02,2708.92
288.20,2050.27,80.50,0.36,-51.59,50.20,156558.29,559493.34,230502.24,2102.57,3481.86,2621.90
281.69,2046.65,141.39,-18.36,-21.87,11.95,117853.37,378515.97,159118.80,1941.28,2722.66,2366.62
251.53,2073.34,76.39,11.97,3.82,-111.07,160076.56,355358.41,86829.63,2260.58,2788.27,1739.87
282.51,2066.97,68.06,66.61,4.84,-33.76,221582.91,252391.00,244550.11,2296.78,2354.63,2070.72
279.34,2042.43,109.88,-18.15,-10.54,-27.05,179738.11,217104.36,239279.06,1915.85,2709.94,2061.86
294.52,2040.75,59.60,-11.66,-79.53,25.79,134251.77,409461.26,235640.02,1923.42,2755.92,2297.15
313.41,2036.77,79.52,5.48,12.64,92.06,215479.97,490000.23,258855.17,2424.66,2941.32,2338.34
