E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
231.42,1835.23,321.36,122.72,176.02,29.70,59675.49,155460.88,169384.12,1487.07,1781.32,1937.66
233.32,1838.51,321.68,117.01,192.78,18.11,63135.32,167267.10,178533.85,1487.07,1781.32,1937.66
235.04,1841.89,321.77,105.66,198.70,3.48,72447.77,169089.95,187747.91,1555.90,1781.32,1937.66
236.56,1845.13,321.65,93.10,190.04,-9.62,80451.20,166328.27,191341.50,1555.90,1781.32,1937.66
237.86,1848.14,321.35,79.38,176.08,-20.59,84981.29,157732.90,192149.74,1555.90,1781.32,1937.66
238.98,1850.98,320.90,68.60,165.07,-29.97,85650.84,153674.82,193429.00,1555.90,1781.32,1937.66
240.00,1853.77,320.33,61.91,162.06,-38.11,82607.40,152828.07,194541.06,1555.90,1781.32,1937.66
241.00,1856.63,319.53,60.60,166.40,-51.56,82164.10,152577.86,194642.11,1555.90,1781.32,1937.66
241.91,1859.50,318.53,55.17,167.15,-64.23,81190.58,152579.75,190707.73,1555.90,1781.32,1937.66
242.74,1862.35,317.39,50.49,165.50,-73.15,81177.77,152756.51,187870.13,1555.90,1781.32,1937.66
243.56,1865.25,316.18,49.39,168.71,-77.40,81248.22,152418.60,184944.39,1555.90,1781.32,1937.66
244.43,1868.20,314.89,52.76,172.08,-82.03,81079.22,151223.59,181325.48,1555.90,1781.32,1937.66
245.36,1871.11,313.50,56.51,169.45,-89.12,80864.19,153199.28,176842.36,1555.90,1814.47,1937.66
246.28,1873.91,312.05,55.82,162.64,-92.26,80990.71,159980.65,174518.83,1555.90,1831.58,1937.66
247.20,1876.61,310.55,55.29,156.61,-95.27,81009.67,166413.60,172278.89,1555.90,1900.58,1937.66
248.08,1879.21,309.01,53.71,150.05,-97.76,81066.94,174004.80,170368.16,1555.90,2025.56,1937.66
